Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[103, 185, 200, 220, 249, 305, 306]",2.6,GA,0.69,0.37,-10.48,-17.51
"[11, 90, 161, 175, 242, 246, 264, 334, 387]",0.9,GA,0.71,-0.34,0.24,-0.51
"[38, 99, 119, 183, 223, 267, 330, 341, 359]",1.46,GA,0.67,-0.12,-3.24,-0.28
"[81, 213, 231, 364]",0.44,GA,0.61,0.36,0.56,0.16
"[49, 151, 154, 234, 248, 348, 361, 391]",0.61,GA,0.66,0.17,0.25,0.0
"[5, 30, 103, 214, 238, 320, 335, 349, 386]",0.74,GA,0.68,0.13,-0.3,-1.15
"[12, 19, 74, 257, 286]",0.65,GA,0.26,-0.07,0.76,0.8
"[16, 40, 89, 292]",0.68,GA,0.59,0.32,-0.55,-0.67
"[151, 244, 262, 308]",1.01,GA,0.28,-0.19,-0.73,-0.71
"[105, 334, 359]",0.69,GA,0.23,-0.01,0.35,0.34
"[204, 326, 333]",0.78,GA,0.41,0.2,-0.69,-0.19
"[161, 250, 286, 319, 376]",2.28,GA,0.33,-2.33,-1.1,-0.84
"[30, 42, 130, 149, 242]",0.36,GA,0.64,0.45,0.74,-0.15
"[27, 74, 114, 205, 314, 327]",1.27,GA,0.33,-0.35,-1.62,-4.89
"[13, 46, 111, 269, 327, 329, 333, 351, 394]",1.36,GA,0.6,0.0,-3.11,-368811.54
"[15, 28, 297, 372, 381, 390]",1.25,GA,0.12,-0.42,-1.33,-2.96
"[172, 204, 248, 315]",1.11,GA,0.46,-0.44,-0.56,0.03
"[16, 68, 94, 138, 143, 233, 237, 253, 280, 289, 330, 354, 360, 374]",1.76,GA,0.67,-0.83,-2.77,-4.5
"[106, 109, 178, 274, 331, 341, 347]",0.92,GA,0.49,-0.38,0.24,-0.28
"[50, 271, 295]",0.64,GA,0.33,0.1,0.32,0.57
"[176, 204, 313, 387]",0.79,GA,0.56,0.27,-0.92,-0.84
"[28, 152, 234, 268, 278, 374]",1.33,GA,0.35,-0.29,-2.09,-3.05
"[21, 39, 108, 201, 245, 279, 329]",1.25,GA,0.6,-0.69,-0.54,-1.12
"[25, 106, 208, 249]",0.57,GA,0.48,0.13,0.57,-0.04
"[59, 99, 156, 211, 294]",0.79,GA,0.59,0.32,-1.09,-0.74
"[23, 33, 81, 130, 139, 148, 182, 254, 306, 356]",0.8,GA,0.36,-0.32,0.71,0.5
"[1, 2, 116, 121, 352, 354]",0.34,GA,0.74,0.52,0.65,0.68
"[9, 94, 111, 115, 131, 153, 290, 299, 391]",0.8,GA,0.61,-0.1,0.09,-16.63
"[34, 45, 78, 143, 148, 161, 219, 313, 328, 367]",1.19,GA,0.73,-0.62,-0.41,-1.74
[],0.81,GA,-0.0,-0.09,0.01,0.01
"[128, 210, 312, 321, 364]",1.01,GA,0.28,-0.36,-0.25,-0.02
"[13, 15, 253, 267, 365]",0.53,GA,0.41,0.14,0.75,0.45
"[101, 186, 283, 338]",0.88,GA,0.48,-0.04,-0.54,-0.36
"[3, 5, 53, 91, 109, 325, 366]",0.62,GA,0.62,0.2,0.14,-0.65
"[25, 230, 247, 278, 280, 332, 335, 365]",0.62,GA,0.62,0.04,0.6,-0.88
"[45, 69, 193, 232, 262]",1.85,GA,0.32,-2.12,0.5,0.35
"[35, 111, 247, 269, 281, 304, 357]",1.02,GA,0.43,-0.36,-0.31,-0.69
"[11, 144, 164]",0.76,GA,0.39,-0.05,0.13,0.11
"[27, 94, 166, 199, 231]",0.54,GA,0.59,0.33,0.15,-0.09
"[41, 65, 108, 290, 318, 321]",0.51,GA,0.71,0.48,-0.11,-0.89
"[185, 310, 375]",0.81,GA,0.34,0.11,-0.59,-4.04
"[2, 122, 176, 338]",0.49,GA,0.48,0.21,0.76,0.77
"[78, 90, 96, 153, 208, 238, 320, 326, 390]",2.78,GA,0.72,-2.3,-3.76,-10.94
"[10, 69, 178, 189, 258, 264, 328, 331, 335, 344, 393]",5.08,GA,0.62,-1.29,-18.39,-37.97
"[148, 223, 233, 243, 302, 351]",0.71,GA,0.45,-0.11,0.56,-0.16
"[2, 24, 49, 58, 157, 180, 237, 292, 300, 302, 305, 392]",0.88,GA,0.78,0.25,-1.37,-105.55
"[29, 173, 215, 237, 292, 320, 345, 383, 385]",1.01,GA,0.67,0.12,-1.61,-2.93
"[165, 193, 213, 216, 340, 377, 379]",0.85,GA,0.53,-0.31,0.44,-0.23
"[12, 15, 38, 55, 75, 144, 246, 251, 332, 369]",0.32,GA,0.83,0.56,0.62,-0.37
